date time client_id server_id client_uqid server_uqid n_bytes duration speed nfs_version nfs_rsize nfs_wsize nfs_proto
2010-12-12 01:11:30.932703 0 1 i-226a5d4f i-3c6a5d51 1024 0.000879434 1.2MB/s v3 32768 32768 tcp
2010-12-12 01:42:14.075053 0 1 i-226a5d4f i-3c6a5d51 1024 0.000897311 1.1MB/s v3 32768 32768 tcp
2010-12-12 01:42:35.608793 0 1 i-226a5d4f i-3c6a5d51 1024 0.000793029 1.3MB/s v3 32768 32 tcp
2010-12-12 01:42:38.856549 0 1 i-226a5d4f i-3c6a5d51 1024 0.000853995 1.2MB/s v3 32768 64 tcp
2010-12-12 01:42:42.142918 0 1 i-226a5d4f i-3c6a5d51 1024 0.000836021 1.2MB/s v3 32768 128 tcp
2010-12-12 01:42:45.420451 0 1 i-226a5d4f i-3c6a5d51 1024 0.000836595 1.2MB/s v3 32768 256 tcp
2010-12-12 01:42:48.689295 0 1 i-226a5d4f i-3c6a5d51 1024 0.000759654 1.3MB/s v3 32768 512 tcp
2010-12-12 01:42:51.986469 0 1 i-226a5d4f i-3c6a5d51 1024 0.000793516 1.3MB/s v3 32768 1024 tcp
2010-12-12 01:42:55.232251 0 1 i-226a5d4f i-3c6a5d51 1024 0.0008396 1.2MB/s v3 32768 2048 tcp
2010-12-12 01:42:58.516578 0 1 i-226a5d4f i-3c6a5d51 1024 0.000745327 1.4MB/s v3 32768 4096 tcp
2010-12-12 01:43:01.867594 0 1 i-226a5d4f i-3c6a5d51 1024 0.000916479 1.1MB/s v3 32768 8192 tcp
2010-12-12 01:43:05.334007 0 1 i-226a5d4f i-3c6a5d51 1024 0.000742674 1.4MB/s v3 32768 16384 tcp
2010-12-12 01:43:08.667186 0 1 i-226a5d4f i-3c6a5d51 1024 0.00103991 985kB/s v3 32768 32768 tcp
2010-12-12 01:43:12.000551 0 1 i-226a5d4f i-3c6a5d51 1024 0.000868351 1.2MB/s v3 32768 65536 tcp
2010-12-12 01:43:15.292338 0 1 i-226a5d4f i-3c6a5d51 1024 0.000869053 1.2MB/s v3 32768 131072 tcp
